handle,title,vendor,status,word_count,chatgpt_markup,has_vintage,admin_url
san-pedro-gato-negro-cabernet-sauvignon-red,Gato Negro | Cabernet Sauvignon,UMG,done,151,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233879134304
san-pedro-35south-merlot-red,35° South | Merlot,UMG,done,145,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233879199840
san-pedro-castillo-de-molina-reserve-cabernet-sauvignon-red,Castillo de Molina Reserva Cabernet Sauvignon,UMG,done,168,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233879232608
san-pedro-castillo-de-molina-reserve-shiraz-red,Castillo de Molina Reserve Shiraz,UMG,done,160,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233879265376
san-pedro-leyda-pinot-noir,Leyda Pinot Noir Reserva,UMG,done,165,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233879363680
san-pedro-altair-blend,Altaïr,UMG,done,195,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233879396448
santa-margherita-versato-merlot-del-veneto-igt-red,Santa Margherita Versato Merlot Del Veneto IGT,UMG,done,172,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233879560288
santa-margherita-chianti-classico-docg-red,Santa Margherita Chianti Classico DOCG,UMG,done,193,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233879625824
long-mountain-cabernet-sauvignon-red,Long Mountain | Cabernet Sauvignon,UMG,done,158,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233879691360
long-mountain-merlot-red,Long Mountain | Merlot,UMG,done,144,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233879724128
barton-guestier-passeport-rouge,Barton & Guestier | Bordeaux Rouge,UMG,done,163,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233879756896
b-g-merlot,B&G | Réserve Merlot,UMG,done,153,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233879789664
b-g-cabernet-sauvignon-red,B&G | Réserve Cabernet Sauvignon,UMG,done,183,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233879855200
barton-guestier-passeport-saint-emillion-red,Barton & Guestier | Saint-Emilion,UMG,done,171,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233879887968
barton-guestier-passeport-medoc-red,Barton & Guestier | Médoc,UMG,done,168,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233879986272
barton-guestier-passeport-chateauneuf-du-pape-red,Barton & Guestier | Châteauneuf-Du-Pape,UMG,done,186,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233880019040
chateau-magnol-haut-medoc-red,Château Magnol | Haut-Médoc Rouge,UMG,done,203,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233880084576
b-g-medium-sweet-red,B&G | Réserve Medium Sweet Rouge,UMG,done,167,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233880117344
dolcetto-dalba-doc-rossana,Ceretto | Dolcetto d'Alba D.O.C. Rossana,UMG,done,177,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233880150112
barbera-dalba-doc-piana,Ceretto | Barbera d'Alba D.O.C. Piana,UMG,done,164,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233880182880
torresella-merlot-veneto,Torresella | Merlot,UMG,done,154,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233880412256
san-pedro-gato-negro-chardonnay-white,Gato Negro | Chardonnay,UMG,done,141,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233880445024
san-pedro-35south-sauvignon-blanc-white,35° South | Sauvignon Blanc,UMG,done,140,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233880510560
san-pedro-castillo-de-molina-reserve-chardonnay-white,Castillo de Molina Reserve Chardonnay,UMG,done,175,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233881165920
san-pedro-castillo-de-molina-reserve-sauvignon-blanc-white,Castillo de Molina Reserve Sauvignon Blanc,UMG,done,192,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233881198688
san-pedro-1865-sauvignon-blanc-white,1865 Sauvignon Blanc,UMG,done,188,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233881231456
san-pedro-leyda-reserva-sauvignon-blanc,Leyda Sauvignon Blanc Reserva,UMG,done,187,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233881264224
santa-margherita-chardonnay-ign-dolomiti-vino-bianco,Santa Margherita Chardonnay Vigneti delle Dolomiti,UMG,done,176,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233881329760
long-mountain-chardonnay-white,Long Mountain | Chardonnay,UMG,done,157,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233881362528
long-mountain-sauvignon-blanc-white,Long Mountain | Sauvignon Blanc,UMG,done,142,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233881460832
b-g-chardonnay,B&G | Réserve Chardonnay,UMG,done,177,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233881493600
b-g-sauvignon-blanc-white,B&G | Réserve Sauvignon Blanc,UMG,done,170,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233881526368
barton-guestier-passeport-blanc,Barton & Guestier | Bordeaux Blanc,UMG,done,183,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233881559136
barton-guestier-passeport-chablis-white,Barton & Guestier | Chablis,UMG,done,170,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233881624672
barton-guestier-passeport-pouilly-fuisse-white,Barton & Guestier | Pouilly-Fuissé,UMG,done,177,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233881657440
frascati-doc,Casale del Grillo Frascati,UMG,done,177,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233881690208
moscato-dasti-docg,Ceretto | Moscato d'Asti D.O.C.G.,UMG,done,201,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233881755744
torresella-pinot-grigio-venezia,Torresella | Pinot Grigio,UMG,done,156,FALSE,FALSE,https://admin.shopify.com/store/drynksapp/products/2233881886816
