handle,title,vendor,year_source,years,variant_titles,desc_context,admin_url
chateau-les-valentines-rose-wine-2021-75cl-aop-cotes-de-provence,Château Les Valentines | Copie - AOP Côtes de Provence 2021,Fyxx | Château Les Valentines,title,2021,75cl | 150cl,,https://admin.shopify.com/store/drynksapp/products/7926600696055
elio-altare-barolo-docg,Elio Altare Barolo DOCG 2016,Fyxx | Elio Altare,title,2016,75cl,,https://admin.shopify.com/store/drynksapp/products/6960342958233
elio-altare-barolo-docg-arborina,Elio Altare Barolo DOCG Arborina 2016,Fyxx | Elio Altare,title,2016,75cl,,https://admin.shopify.com/store/drynksapp/products/6960351379609
elio-altare-barolo-docg-cannubi,Elio Altare Barolo DOCG Cannubi 2016,Fyxx | Elio Altare,title,2016,75cl,,https://admin.shopify.com/store/drynksapp/products/6960354164889
elio-altare-langhe-rosso-la-villa,Elio Altare | La Villa Langhe Rosso 2017,Fyxx | Elio Altare,title,2017,75cl,,https://admin.shopify.com/store/drynksapp/products/6960356917401
incayal-la-cueva-2021,Inacayal | La Cueva 2021,Fyxx | Inacayal,title,2021,75cl,,https://admin.shopify.com/store/drynksapp/products/7927686562039
incayal-la-patagua-2021,Inacayal | La Patagua 2021,Fyxx | Inacayal,title,2021,75cl,,https://admin.shopify.com/store/drynksapp/products/7927687151863
tremblay-chablis-gc-vaudesir-magnum,Gérard Tremblay | Chablis Grand Cru Vaudesir 2017,Fyxx | Les Caves de Pyrene,title,2017,150cl,,https://admin.shopify.com/store/drynksapp/products/7148288475289
tremblay-chablis-grand-cru-vaudesir-2018,Gérard Tremblay | Chablis Grand Cru Vaudesir 2018,Fyxx | Les Caves de Pyrene,title,2018,75cl,,https://admin.shopify.com/store/drynksapp/products/7166965612697
pocas-vintage-16-port,Poças Vintage 2016 Port,UMG,title,"1918,2016",75cl,"… Poças is a family-run Port house founded in 1918 in Vila Nova de Gaia, with its own quintas i…",https://admin.shopify.com/store/drynksapp/products/6822001541273
achaval-ferrer-cabernet-sauvignon,Achaval Ferrer Cabernet Sauvignon,Bulos Y Zumot & Co. L.L.C,description,1998,75cl,…cer Achaval-Ferrer was founded in Mendoza in 1998 and made its name with single vineyard Malbe…,https://admin.shopify.com/store/drynksapp/products/5611090935961
campotino-montepulciano-dabruzzo,Campotino Montepulciano D'Abruzzo,Bulos Y Zumot & Co. L.L.C,description,1973,75cl,…he Producer Tenuta del Priore was founded in 1973 by the Mazzocchetti cousins and named after …,https://admin.shopify.com/store/drynksapp/products/7701181858039
campotino-pecorino-2019,Campotino Pecorino,Bulos Y Zumot & Co. L.L.C,description,"1973,1980",75cl,…xtinct before growers rediscovered it in the 1980s. Tasting Notes An attractive grapefruit cha…,https://admin.shopify.com/store/drynksapp/products/7701182578935
maison-joseph-drouhin-saint-veran,Maison Joseph Drouhin | Saint-Véran,Bulos Y Zumot & Co. L.L.C,description,1971,75cl,"…d 13% Appellation note: Created by decree in 1971, the youngest appellation in the Mâconnais F…",https://admin.shopify.com/store/drynksapp/products/10060063211767
marques-de-caceres-rioja-blanco,Marqués de Cáceres | Rioja Blanco,Bulos Y Zumot & Co. L.L.C,description,1970,75cl,"…que Forner brought Bordeaux thinking home in 1970, cold fermentation in stainless steel was th…",https://admin.shopify.com/store/drynksapp/products/7701183234295
nortico-alvarinho,Nortico | Alvarinho,Bulos Y Zumot & Co. L.L.C,description,"1910,2005",75cl,"…s, sustainably farmed, vines planted between 1910 and 2005 Soil: Granite and schist at 20 to 2…",https://admin.shopify.com/store/drynksapp/products/7701182906615
saint-george-barbera,Saint George | Barbera,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/8395775738103
saint-george-caberet-carmenere-wine-maker-selection,Saint George | Cabernet Carmenere - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/6662879871129
saint-george-cabernet-sauvignon,Saint George | Cabernet Sauvignon,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/8408432050423
saint-george-wine-maker-selection-cabernet-sauvignon,Saint George | Cabernet Sauvignon - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/5260248481945
saint-george-cabernet-sauvignon-cabernet-franc-blend,"Saint George | Cabernet Sauvignon, Cabernet Franc (Blend)",Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/8406422192375
saint-george-cabernet-sauvignon-pinot-noir,"Saint George | Cabernet Sauvignon, Pinot Noir (Blend)",Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/5260169773209
saint-george-cabernet-shiraz-blend,Saint George | Cabernet Shiraz (Blend),Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/8406421635319
saint-george-carmenere-terroir-expression,Saint George | Carmenere - Terroir Expression,Bulos Y Zumot & Co. L.L.C,description,1996,50cl | 75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/8332725977335
saint-george-chardonnay-white-wine,Saint George | Chardonnay,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/7657448636663
saint-george-wine-makers-selection-chardonnay,Saint George | Chardonnay - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/6580327514265
saint-george-gewurztraminer,Saint George | Gewürztraminer,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/5260196348057
saint-george-graciano-wine-maker-selection,Saint George | Graciano - Winemaker's Selection,Bulos Y Zumot & Co. L.L.C,description,1996,75cl,…ordan. The family planted its first vines in 1996 and the wines are made by Omar Zumot from fr…,https://admin.shopify.com/store/drynksapp/products/6662884032665
